id,category,question,optionA,optionB,optionC,optionD,correctAnswer,explanation
A1,funfacts,Which animal has the largest brain relative to its body size?,Dolphin,Human,Elephant,Hummingbird,B,"While elephants have larger brains in absolute terms, humans have the largest brain relative to body size among all animals, with a brain-to-body mass ratio of about 1:40."
A2,funfacts,What percentage of the world's oxygen is produced by the Amazon rainforest?,10%,20%,50%,70%,B,"The Amazon rainforest produces approximately 20% of the world's oxygen through photosynthesis, earning it the nickname 'the lungs of the Earth.'"
A3,funfacts,What is the only food that never spoils?,Honey,White rice,Peanut butter,Dried beans,A,"Honey is the only food that doesn't spoil due to its low moisture content and high acidity, which create an environment where bacteria cannot survive. Archaeologists have found pots of honey in ancient Egyptian tombs that are over 3,000 years old and still perfectly edible."
A4,funfacts,How many times does the average person blink in a day?,About 5,000 times,About 12,000 times,About 20,000 times,About 28,800 times,C,"The average person blinks approximately 15-20 times per minute while awake, which adds up to about 20,000 times in a day. Blinking is essential for keeping eyes lubricated and removing irritants."
A5,funfacts,Which language has the most words?,English,Mandarin Chinese,Spanish,Arabic,A,"English is estimated to have the largest vocabulary with over 1 million words, due to its extensive borrowing from other languages throughout history and its global spread."
A6,funfacts,What is the only continent where giraffes live in the wild?,Africa,Asia,Australia,South America,A,"Giraffes are native only to Africa, specifically in savannas, grasslands, and open woodlands across several countries including Kenya, Tanzania, and South Africa."
A7,funfacts,What is the only letter that doesn't appear in any U.S. state name?,Q,X,Z,B,A,"The letter 'Q' doesn't appear in any of the 50 U.S. state names. Even uncommon letters like 'X' (Texas), 'Z' (Arizona), and 'J' (New Jersey) are used in at least one state name."
A8,funfacts,What percentage of our DNA do we share with chimpanzees?,85%,90%,98.8%,99.9%,C,"Humans share approximately 98.8% of our DNA with chimpanzees, making them our closest living relatives in the animal kingdom."
A9,funfacts,How long does it take for a drop of blood to circulate through the entire human body?,20 seconds,45 seconds,1 minute,90 seconds,B,"It takes about 45 seconds for a drop of blood to complete one full circuit through the human cardiovascular system, traveling from the heart throughout the body and back again."
A10,funfacts,What is the only mammal that cannot jump?,Elephant,Sloth,Hippopotamus,Rhinoceros,A,"Elephants are the only mammals that cannot jump due to their weight, bone structure, and the way their legs are positioned. All four of an elephant's legs must remain on the ground to support its massive weight."
A11,funfacts,What percentage of the human body is water?,50-60%,65-75%,80-90%,95-99%,B,"The adult human body consists of approximately 65-75% water, with variation depending on factors like age, sex, and body composition."
A12,funfacts,How many possible different combinations are there in a standard deck of 52 playing cards?,Thousands,Millions,Billions,8×10^67,D,"There are approximately 8×10^67 possible ways to arrange a standard deck of 52 playing cards. This number is so large that if someone were to shuffle a deck perfectly randomly, the resulting arrangement would likely never have existed before in history."
A13,funfacts,Which substance makes up approximately 78% of Earth's atmosphere?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,C,"Nitrogen makes up about 78% of Earth's atmosphere, with oxygen comprising about 21% and the remaining 1% consisting of other gases."
A14,funfacts,What is the only metal that is liquid at room temperature?,Mercury,Gallium,Lead,Aluminum,A,"Mercury is the only metal that remains liquid at standard room temperature and pressure (approximately 20°C/68°F). Gallium melts at slightly above room temperature (29.8°C/85.6°F)."
A15,funfacts,How many notes are there in a standard musical octave in Western music?,5,7,8,12,C,"A standard musical octave in Western music contains 8 notes (do, re, mi, fa, sol, la, ti, do), with the eighth note being the same as the first but at a higher frequency."
A16,funfacts,What is the only planet in our solar system that rotates clockwise?,Venus,Mars,Uranus,Neptune,A,"Venus is the only planet in our solar system that rotates clockwise (retrograde rotation) when viewed from above the solar system's north pole. All other planets rotate counterclockwise."
A17,funfacts,How many bones does an adult human skeleton contain?,106,206,306,406,B,"The adult human skeleton is composed of 206 bones. Babies are born with approximately 300 bones, but many of these fuse together as they grow."
A18,funfacts,What percentage of an iceberg typically remains underwater?,10%,50%,70%,90%,D,"Approximately 90% of an iceberg's mass remains underwater, with only 10% visible above the water's surface, giving rise to the expression 'tip of the iceberg.'"
A19,funfacts,What is the only number whose letters are in alphabetical order?,Four,Eight,Forty,Nine,C,"The word 'forty' contains letters arranged in alphabetical order (f-o-r-t-y), making it unique among all numbers in the English language."
A20,funfacts,How many chambers does a human heart have?,2,3,4,6,C,"The human heart has four chambers: two atria (upper chambers) and two ventricles (lower chambers), which work together to pump blood throughout the body."
A21,funfacts,Which color of light has the longest wavelength visible to humans?,Blue,Green,Yellow,Red,D,"Red light has the longest wavelength visible to humans in the electromagnetic spectrum, ranging from about 620 to 750 nanometers."
A22,funfacts,What percentage of the world's fresh water is locked in ice caps and glaciers?,About 10%,About 30%,About 50%,About 70%,D,"Approximately 70% of the world's fresh water is locked in ice caps, glaciers, and permanent snow, primarily in Antarctica and Greenland."
